Id,Date,Centre_Name,Commodity_Name,Price
119,07-01-09,BHOPAL,Wheat,1010
120,07-01-09,MUMBAI,Wheat,1010
121,07-01-09,JAIPUR,Wheat,1010
122,07-01-09,PATNA,Wheat,1010
123,07-01-09,RANCHI,Wheat,1010
124,07-01-09,BHUBANESHWAR,Wheat,1220
125,07-01-09,KOLKATA,Wheat,1010
126,07-01-09,GUWAHATI,Wheat,1010
127,07-01-09,SHILLONG,Wheat,1010
128,07-01-09,AIZWAL,Wheat,1010
129,07-01-09,KOHIMA,Wheat,1010
130,07-01-09,AGARTALA,Wheat,1010
131,07-01-09,BENGALURU,Wheat,1010
132,07-01-09,T.PURAM,Wheat,1010
133,07-01-09,CHENNAI,Wheat,1540
134,07-01-09,HYDERABAD,Wheat,1010
135,09-01-09,CHANDIGARH,Wheat,1010
136,09-01-09,DELHI,Wheat,1140
137,09-01-09,SHIMLA,Wheat,1010
138,09-01-09,SRINAGAR,Wheat,1010
139,09-01-09,JAMMU,Wheat,1010
140,09-01-09,AMRITSAR,Wheat,1010
141,09-01-09,LUDHIANA,Wheat,1010
142,09-01-09,LUCKNOW,Wheat,1010
143,09-01-09,DEHRADUN,Wheat,1010
144,09-01-09,RAIPUR,Wheat,1010
145,09-01-09,AHMEDABAD,Wheat,1010
146,09-01-09,BHOPAL,Wheat,1010
147,09-01-09,MUMBAI,Wheat,1010
148,09-01-09,JAIPUR,Wheat,1010
149,09-01-09,PATNA,Wheat,1010
150,09-01-09,RANCHI,Wheat,1010
151,09-01-09,BHUBANESHWAR,Wheat,1220
152,09-01-09,KOLKATA,Wheat,1010
153,09-01-09,GUWAHATI,Wheat,1010
154,09-01-09,SHILLONG,Wheat,1010
155,09-01-09,AIZWAL,Wheat,1010
156,09-01-09,KOHIMA,Wheat,1010
157,09-01-09,AGARTALA,Wheat,1010
158,09-01-09,BENGALURU,Wheat,1700
159,09-01-09,T.PURAM,Wheat,1010
160,09-01-09,CHENNAI,Wheat,1540
161,09-01-09,HYDERABAD,Wheat,1010
162,12-01-09,CHANDIGARH,Wheat,1010
163,12-01-09,DELHI,Wheat,1140
164,12-01-09,SHIMLA,Wheat,1010
